506 [    pgoapi] [ INFO] pgoapi v1.1.7 - Copyright (c) 2016 tjado <https://github.com/tejado>
706 [ utilities] [ INFO] Location for '[Redacted],[Redacted]' found: [Redacted]
706 [ utilities] [ INFO] Coordinates (lat/long/alt) for location: [Redacted] [Redacted] 0.0
706 [    pgoapi] [DEBUG] Set Position - Lat: [Redacted] Long: [Redacted] Alt: 0.0
707 [    pgoapi] [DEBUG] Auth provider: ptc
707 [  auth_ptc] [ INFO] PTC User Login for: [Redacted]
715 [connectionpool] [ INFO] Starting new HTTPS connection (1): sso.pokemon.com
945 [connectionpool] [DEBUG] "GET /sso/login?service=https%3A%2F%2Fsso.pokemon.com%2Fsso%2Foauth2.0%2FcallbackAuthorize HTTP/1.1" 200 104
049 [connectionpool] [DEBUG] "POST /sso/login?service=https%3A%2F%2Fsso.pokemon.com%2Fsso%2Foauth2.0%2FcallbackAuthorize HTTP/1.1" 302 0
147 [connectionpool] [DEBUG] "GET /sso/oauth2.0/callbackAuthorize?ticket=ST-23950672-fX6XPc6GHnn0ERyd4sNA-sso.pokemon.com HTTP/1.1" 500 None
148 [  auth_ptc] [ INFO] PTC User Login successful.
148 [      auth] [DEBUG] No Access Token available!
148 [  auth_ptc] [ INFO] Request PTC Access Token...
249 [connectionpool] [DEBUG] "POST /sso/oauth2.0/accessToken HTTP/1.1" 200 106
250 [  auth_ptc] [ INFO] PTC Access Token successfully retrieved.
250 [  auth_ptc] [DEBUG] PTC Access Token: TGT-23885427-gPiTkX9K1g6B...
269 [    pgoapi] [ INFO] Creating a new direct request...
269 [    pgoapi] [ INFO] Adding 'GET_MAP_OBJECTS' to RPC request including arguments
269 [    pgoapi] [DEBUG] Arguments of 'GET_MAP_OBJECTS': 
{'latitude': [Redacted], 'since_timestamp_ms': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'cell_id': [[Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L, [Redacted]L], 'longitude': [Redacted]}
270 [   rpc_api] [DEBUG] Generated new random RPC Request id: 456160726639497600
270 [    pgoapi] [ INFO] Execution of RPC
270 [   rpc_api] [DEBUG] Generating main RPC request...
270 [   rpc_api] [DEBUG] Incremented RPC Request ID: 456160726639497601
270 [   rpc_api] [DEBUG] Generating sub RPC requests...
283 [   rpc_api] [DEBUG] Subrequest class: POGOProtos.Networking.Requests.Messages_pb2.GetMapObjectsMessage
284 [   rpc_api] [DEBUG] Found list: since_timestamp_ms - trying as repeated
284 [   rpc_api] [DEBUG] since_timestamp_ms -> 0
